ZipCode,AssessTot,LandUse,Address,MaxValues,,,,,,
10001,6302700,6,236 WEST 26 STREET,,,,,,,
10001,6204150,3,249 WEST 29 STREET,,,,,,,
10001,6175800,6,260 12 AVENUE,,,,,,,
10001,6154650,5,146 WEST 29 STREET,,,,,,,
10001,6080850,3,107 WEST 25 STREET,,,,,,,
10001,6068250,5,34 WEST 27 STREET,,,,,,,
10001,6053850,5,39 WEST 32 STREET,,,,,,,
10001,6022350,5,236 5 AVENUE,,,,,,,
10001,5975550,5,536 WEST 26 STREET,,,,,,,
10001,5937750,5,19 WEST 31 STREET,,,,,,,
10001,5897700,6,115 WEST 29 STREET,,,,,,,
10001,5896800,5,115 WEST 27 STREET,,,,,,,
10001,5895900,5,35 WEST 35 STREET,,,,,,,
10001,5799767,5,520 WEST 27 STREET,,,,,,,
10001,5773050,3,109 WEST 26 STREET,,,,,,,
10001,5751900,3,142 WEST 26 STREET,,,,,,,
10001,5743350,5,150 WEST 25 STREET,,,,,,,
10001,5735700,5,247 WEST 30 STREET,,,,,,,
10001,5727600,5,104 WEST 27 STREET,,,,,,,
10001,5724900,5,36 WEST 34 STREET,,,,,,,
10001,5677200,4,142 WEST 34 STREET,,,,,,,
10001,5673150,3,250 WEST 27 STREET,,,,,,,
10001,5655150,5,542 WEST 27 STREET,,,,,,,
10001,5604750,5,286 5 AVENUE,,,,,,,
10001,5595750,4,291 7 AVENUE,,,,,,,
10001,5561100,3,11 WEST 30 STREET,,,,,,,
10001,5553000,6,135 WEST 26 STREET,,,,,,,
10001,5550300,5,1155 BROADWAY,,,,,,,
10001,5546700,8,357 WEST 35 STREET,,,,,,,
10001,5520150,3,245 WEST 25 STREET,,,,,,,
10001,5510700,5,212 WEST 35 STREET,,,,,,,
10001,5499000,7,613 WEST 29 STREET,,,,,,,
10001,5430150,6,254 WEST 35 STREET,,,,,,,
10001,5405397,4,252 WEST 30 STREET,,,,,,,
10001,5370750,3,284 5 AVENUE,,,,,,,
10001,5357250,5,202 11 AVENUE,,,,,,,
10001,5342849,3,308 WEST 30 STREET,,,,,,,
10001,5330250,4,241 9 AVENUE,,,,,,,
10001,5310000,3,219 WEST 25 STREET,,,,,,,
10001,5292450,5,145 WEST 28 STREET,,,,,,,
10001,5238900,5,460 8 AVENUE,,,,,,,
10001,5223150,3,114 WEST 27 STREET,,,,,,,
10001,5196150,6,151 WEST 25 STREET,,,,,,,
10001,5181300,5,254 WEST 31 STREET,,,,,,,
10001,5116052,4,110 WEST 25 STREET,,,,,,,
10001,5113800,5,241 WEST 29 STREET,,,,,,,
10001,5097600,5,41 WEST 34 STREET,,,,,,,
10001,5064300,6,130 WEST 25 STREET,,,,,,,
10001,5040450,3,233 WEST 26 STREET,,,,,,,
10001,5033250,4,420 9 AVENUE,,,,,,,
10001,5028300,8,220 WEST 27 STREET,,,,,,,
10001,5008500,5,509 WEST 34 STREET,,,,,,,
10001,4986450,5,39 WEST 29 STREET,,,,,,,
10001,4960800,5,302 5 AVENUE,,,,,,,
10001,4918500,5,29 WEST 35 STREET,,,,,,,
10001,4914450,5,25 WEST 31 STREET,,,,,,,
10001,4877100,6,7 WEST 30 STREET,,,,,,,
10001,4718250,6,335 WEST 35 STREET,,,,,,,
10001,4679550,5,50 WEST 33 STREET,,,,,,,
10001,4673700,5,350 WEST 31 STREET,,,,,,,
10001,4669650,5,37 WEST 28 STREET,,,,,,,
10001,4667850,5,40 WEST 27 STREET,,,,,,,
10001,4662450,10,340 WEST 31 STREET,,,,,,,
10001,4657950,5,236 WEST 30 STREET,,,,,,,
10001,4648050,4,55 WEST 35 STREET,,,,,,,
10001,4537350,11,8 WEST 30 STREET,,,,,,,
10001,4520700,5,260 WEST 35 STREET,,,,,,,
10001,4476150,4,453 WEST 35 STREET,,,,,,,
10001,4427550,3,151 WEST 28 STREET,,,,,,,
10001,4409550,6,158 WEST 29 STREET,,,,,,,
10001,4389507,5,365 9 AVENUE,,,,,,,
10001,4375350,5,221 WEST 26 STREET,,,,,,,
10001,4366800,8,209 WEST 30 STREET,,,,,,,
10001,4330350,5,143 WEST 29 STREET,,,,,,,
10001,4308300,6,135 WEST 27 STREET,,,,,,,
10001,4302000,8,414 WEST 34 STREET,,,,,,,
10001,4295247,5,258 5 AVENUE,,,,,,,
10001,4292100,6,208 WEST 30 STREET,,,,,,,
10001,4283100,5,1204 BROADWAY,,,,,,,
10001,4203900,4,512 WEST 29 STREET,,,,,,,
10001,4203900,4,518 WEST 29 STREET,,,,,,,
10001,4189950,3,408 WEST 34 STREET,,,,,,,
10001,4180500,4,506 WEST 29 STREET,,,,,,,
10001,4165650,4,44 WEST 34 STREET,,,,,,,
10001,4165200,9,894 AVENUE OF THE AMER,,,,,,,
10001,4108950,6,120 WEST 28 STREET,,,,,,,
10001,4100400,4,25 WEST 32 STREET,,,,,,,
