ZipCode,AssessTot,LandUse
10001,863550,10
10001,856800,10
10001,853650,5
10001,852300,2
10001,838800,5
10001,838800,8
10001,836605,3
10001,834750,4
10001,834300,5
10001,833850,4
10001,824850,5
10001,817200,4
10001,813218,3
10001,809100,2
10001,807750,5
10001,805050,6
10001,803842,4
10001,803842,4
10001,803700,2
10001,801450,4
10001,799200,5
10001,795600,5
10001,795150,6
10001,790650,10
10001,787950,4
10001,787050,4
10001,785250,4
10001,781200,5
10001,778950,5
10001,778950,6
10001,776700,2
10001,769501,4
10001,768600,4
10001,768600,4
10001,767250,2
10001,762750,4
10001,761400,3
10001,760050,6
10001,756450,6
10001,748350,2
10001,747450,4
10001,747419,4
10001,746550,2
10001,744300,4
10001,741600,5
10001,733500,10
10001,731250,5
10001,730800,2
10001,729450,5
10001,729000,2
10001,726750,11
10001,726433,3
10001,726300,8
10001,724050,8
10001,723828,2
10001,721800,5
10001,720000,6
10001,715500,5
10001,714150,2
10001,712350,5
10001,710551,4
10001,709511,4
10001,708749,4
10001,704700,4
10001,704250,6
10001,700200,5
10001,698850,5
10001,698850,5
10001,698135,2
10001,697500,5
10001,695700,8
10001,693000,4
10001,690750,4
10001,689850,6
10001,684000,5
10001,675865,4
10001,668700,6
10001,666450,2
10001,654750,5
10001,652500,4
10001,648000,11
10001,645300,2
10001,642600,6
10001,640350,6
10001,639900,6
10001,637650,2
10001,636798,2
10001,636300,4
10001,633600,4
10001,633150,4
10001,631800,6
10001,631350,4
10001,629100,10
10001,628788,4
10001,627750,10
10001,627300,5
10001,623948,2
10001,621000,11
10001,607950,2
10001,605942,4
10001,604661,4
10001,603076,2
10001,598500,2
10001,598500,6
10001,596352,4
10001,593190,4
10001,590400,6
10001,589950,10
10001,587700,5
10001,582750,5
10001,581850,5
10001,576027,3
10001,571950,4
10001,569852,4
10001,569250,6
10001,563400,4
10001,559350,6
10001,557740,4
10001,553500,6
10001,552182,3
10001,550800,2
10001,548722,2
10001,548100,6
10001,545850,5
10001,543150,6
10001,542700,4
10001,539550,6
10001,538200,5
10001,538014,4
10001,537300,6
10001,531450,6
10001,531000,5
10001,528750,4
10001,526500,11
10001,524314,2
10001,523298,4
10001,522000,4
10001,514537,3
10001,513900,5
10001,513216,2
10001,509400,5
10001,509400,6
10001,508950,8
10001,503550,5
10001,494100,5
10001,493533,4
10001,492810,4
10001,492300,2
10001,491400,4
10001,490500,4
10001,488520,4
10001,488250,10
10001,485100,5
10001,478350,6
10001,475341,2
10001,474750,6
10001,473400,4
10001,469805,4
10001,469163,4
10001,467550,4
10001,466650,4
10001,463950,6
10001,463528,4
10001,463289,4
10001,463289,4
10001,454500,5
10001,453267,4
10001,444892,2
10001,443747,4
10001,442800,2
10001,441000,2
10001,440100,11
10001,429750,2
10001,429300,5
10001,426150,5
10001,419850,4
10001,418259,4
10001,415962,2
10001,415028,4
10001,412650,5
10001,407666,4
10001,406606,4
10001,404235,2
10001,403650,2
10001,390600,5
10001,390150,4
10001,385573,4
10001,383400,5
10001,369600,2
10001,363841,2
10001,358612,2
10001,357476,4
10001,352391,4
10001,351587,4
10001,342732,4
10001,342450,5
10001,337400,4
10001,336150,11
10001,333000,5
10001,322650,6
10001,322200,10
10001,314712,4
10001,312750,6
10001,312312,2
10001,311640,1
10001,311570,4
10001,309743,4
10001,308146,4
10001,304952,4
10001,304952,2
10001,304014,2
10001,302595,2
10001,301950,10
10001,301860,2
10001,298800,2
10001,298045,4
10001,297900,10
10001,296405,2
10001,296100,5
10001,295650,10
10001,292390,4
10001,291748,2
10001,288450,11
10001,285610,2
10001,279000,8
10001,275969,2
10001,265619,1
10001,263659,2
10001,261991,2
10001,256789,2
10001,242907,2
10001,240084,4
10001,238500,5
10001,237183,2
10001,237168,11
10001,234579,4
10001,234579,4
10001,229500,10
10001,202124,4
10001,197571,2
10001,196640,2
10001,185850,2
10001,181246,11
10001,176850,11
10001,176400,11
10001,170169,1
10001,166050,2
10001,164161,4
10001,162000,11
10001,151999,4
10001,151532,2
10001,149059,1
10001,145189,1
10001,141423,4
10001,139791,4
10001,132024,1
10001,125126,2
10001,108444,1
10001,105750,10
10001,105614,4
10001,102902,4
10001,100878,4
10001,99521,4
10001,88094,1
10001,79127,2
10001,68040,11
10001,55350,10
10001,49389,1
10001,38522,1
10001,33631,11
10001,17714,4
10001,6300,11
10001,4860,11
10001,4406,11
10001,45,11
10001,0,7
10001,0,7
10001,0,11
10001,0,2
10001,0,7
10001,0,5
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,7
10001,0,
10001,0,11
10001,0,11
10001,0,11
10001,0,7
10001,0,5
10001,0,11
10001,0,11
10002,154701900,8
10002,111140100,3
10002,91067400,3
10002,76532400,7
10002,65116800,9
10002,62843768,4
10002,59534550,3
10002,58007700,3
10002,57028950,9
10002,56531700,4
10002,55768950,3
10002,43965000,3
10002,36168300,4
10002,33272201,4
10002,31768650,4
10002,31442643,5
10002,31077900,5
10002,30478500,8
10002,29756700,3
10002,29313000,5
10002,28414800,8
10002,26432550,3
10002,26108100,3
10002,24386400,8
10002,23983200,3
10002,23593050,4
10002,22767750,8
10002,22496850,4
10002,21797550,4
10002,21267450,3
